clg_name,rating,fees,pkg,STATE,CLG_ID
"Karpagam College of Engineering - [KCE], Coimbatore",8.0,75500,350000,TN,TNKa8
"St. Peter's Institute of Higher Education and Research - [SPIHER], Chennai",8.0,100000,1453000,TN,TNSt8
"Saveetha Engineering College - [SEC], Chennai",8.0,200000,3600000,TN,TNSa8
"SKR Engineering College, Chennai",8.0,200000,3500000,TN,TNSK8
"Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech], Chennai",8.0,250000,324409,TN,TNVe8
"Government College of Technology - [GCT], Coimbatore",8.1,9180,6200000,TN,TNGo8
"Government College Of Engineering Sengipatti, Thanjavur",8.1,9430,2100000,TN,TNGo8
"Sri Krishna College of Engineering and Technology - [SKCET], Coimbatore",8.1,50000,1018000,TN,TNSr8
"PERI Institute of Technology - [PERIT], Chennai",8.1,55000,4491000,TN,TNPE8
"Chettinad College of Engineering and Technology - [CCET], Karur",8.1,55000,314000,TN,TNCh8
"Trichy Engineering College - [TEC], Tiruchirappalli",8.1,60000,400000,TN,TNTr8
"Kathir College of Engineering, Coimbatore",8.1,60000,1250000,TN,TNKa8
"Indian Institute of Information Technology Design & Manufacturing - [IIITDM], Chennai",8.1,135100,2400000,TN,TNIn8
"Sasurie College of Engineering - [SCE], Tiruppur",8.1,200000,350000,TN,TNSa8
"Gojan School of Business and Technology - [GSBT], Chennai",8.1,200000,202345,TN,TNGo8
"Asan Memorial College of Engineering and Technology - [AMCET], Kanchipuram",8.1,200000,145000,TN,TNAs8
"Karunya Institute of Technology and Sciences - [Karunya Deemed University], Coimbatore",8.1,218500,2700000,TN,TNKa8
"Indian Maritime University - [IMU], Chennai",8.1,225000,3425000,TN,TNIn8
"SRM Institute of Science and Technology - [SRMIST], Chennai",8.1,250000,3000000,TN,TNSR8
"Tamil Nadu Veterinary and Animal Sciences University - [TANUVAS], Chennai",8.2,21415,1826000,TN,TNTa8
"Central Institute of Petrochemicals Engineering & Technology - [CIPET], Chennai",8.2,31950,1000000,TN,TNCe8
"Madras Institute of Technology- [MIT], Chennai",8.2,46060,3251000,TN,TNMa8
"Sri Sairam Engineering College, Chennai",8.2,50000,2500000,TN,TNSr8
"Angel College of Engineering and Technology - [ACET], Tiruppur",8.2,50000,300000,TN,TNAn8
"Sri Ramakrishna Engineering College - [SREC], Coimbatore",8.2,55000,19500000,TN,TNSr8
"Sree Sowdambika College of Engineering - [SSCE], Virudhunagar",8.2,55000,280000,TN,TNSr8
"Panimalar Engineering College, Chennai",8.2,60000,5500000,TN,TNPa8
"KGISL Institute of Technology - [KITE], Coimbatore",8.2,87200,800000,TN,TNKG8
"Christ the King Engineering College, Coimbatore",8.2,200000,960000,TN,TNCh8
"Sri Sairam Institute of Technology - [SSIT], Chennai",8.2,202000,750000,TN,TNSr8
"Thanthai Periyar Government Institute of Technology - [TPGIT], Vellore",8.3,6455,540000,TN,TNTh8
"SCAD College of Engineering and Technology - [SCAD CET], Tirunelveli",8.3,50000,406000,TN,TNSC8
"Kongu Engineering College - [KEC], Erode",8.3,55000,5820000,TN,TNKo8
"Chennai Institute of Technology - [CIT], Chennai",8.3,55000,2200000,TN,TNCh8
"St. Joseph College Of Engineering, Kanchipuram",8.3,60000,500000,TN,TNSt8
"Jansons Institute of Technology - [JIT], Coimbatore",8.3,92500,300000,TN,TNJa8
"Kumaraguru College of Technology - [KCT], Coimbatore",8.3,100200,650000,TN,TNKu8
"Vellore Institute of Technology - [VIT University], Vellore",8.3,198000,1000000,TN,TNVe8
"SSN College of Engineering - [SSNCE], Chennai",8.3,200000,10200000,TN,TNSS8
"Madha Engineering College, Chennai",8.4,,240000,TN,TNMa8
"College of Engineering, Anna University - [CEG], Chennai",8.4,31060,3037000,TN,TNCo8
"Saveetha School of Engineering - [SSE], Chennai",8.4,45000,5300000,TN,TNSa8
"VSB Engineering College - [VSBEC], Karur",8.4,45000,334000,TN,TNVS8
"Sri Shakthi Institute of Engineering and Technology - [SIET], Coimbatore",8.4,50000,350000,TN,TNSr8
"JCT College of Engineering and Technology, Coimbatore",8.4,50000,1000000,TN,TNJC8
"Vinayaka Missions University - [VMU], Salem",8.4,60000,1700000,TN,TNVi8
"B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU], Chennai",8.4,85000,6400000,TN,TNB.8
"NIT Trichy, Tiruchirappalli",8.4,178150,3000000,TN,TNNI8
"Indian Institute of Information Technology - [IIIT], Tiruchirappalli",8.4,194750,4400000,TN,TNIn8
"Sri Krishna College of Technology - [SKCT], Coimbatore",8.4,200000,1470000,TN,TNSr8
"PSNA College of Engineering and Technology, Dindigul",8.4,200000,5200000,TN,TNPS8
"K. Ramakrishnan College of Engineering -[KRCE], Tiruchirappalli",8.4,200000,1200000,TN,TNK.8
"Loyola-ICAM College of Engineering and Technology - [LICET], Chennai",8.4,200000,434000,TN,TNLo8
"SRM University Vadapalani Campus, Chennai",8.4,225000,1240000,TN,TNSR8
"Francis Xavier Engineering College, Tirunelveli",8.5,,408000,TN,TNFr8
"Periyar Maniammai Institute of Science and Technology - [PMIST], Thanjavur",8.5,44500,168000,TN,TNPe8
"Sona College of Technology, Salem",8.5,55000,320000,TN,TNSo8
"Thiagarajar College of Engineering - [TCE], Madurai",8.5,82000,5500000,TN,TNTh8
"KPR Institute of Engineering & Technology - [KPRIET], Coimbatore",8.5,96900,223000,TN,TNKP8
"SACS MAVMM Engineering College, Madurai",8.5,200000,300000,TN,TNSA8
"Dhirajlal Gandhi College of Technology, Salem",8.6,50000,1800000,TN,TNDh8
"M.A.M. College of Engineering and Technology - [MAMCET], Tiruchirappalli",8.6,50000,1510000,TN,TNM.8
"St.Joseph's Institute of Technology - [SJIT], Chennai",8.6,200000,1350000,TN,TNSt8
"SRM Institute of Science and Technology Ramapuram Campus, Chennai",8.6,210000,300000,TN,TNSR8
"Thamirabharani Engineering College,, Tirunelveli",8.7,40000,350000,TN,TNTh8
"Knowledge Institute of Technology - [KIOT], Salem",8.7,50000,743000,TN,TNKn8
"Pandian Saraswathi Yadav Engineering College, Sivaganga",8.7,60000,600000,TN,TNPa8
"PSG Institute of Technology and Applied Research - [PSG iTech], Coimbatore",8.7,89800,2100000,TN,TNPS8
"IIT Madras - Indian Institute of Technology - [IITM], Chennai",8.7,209550,2148000,TN,TNII8
"P.S.G College of Technology - [PSGCT], Coimbatore",8.8,55000,8205000,TN,TNP.8
"Karpagam Institute of Technology, Coimbatore",9.0,50000,700000,TN,TNKa9
