clg_name,rating,fees,pkg
"University College of Engineering, Mahatma Gandhi University - [UCE], Thodupuzha",7.0,47800,250000
"Anantha Lakshmi Institute of Technology and Sciences - [ALITS], Anantapur",7.0,50200,400000
"Patel College of Science and Technology - [PCST], Bhopal",7.0,56000,450000
"Mahakal Institute of Technology - [MIT], Ujjain",7.0,57000,1900000
"Ranganathan Engineering College - [REC], Coimbatore",7.0,60000,1200000
"College of Technology, GB Pant University of Agriculture & Technology, Pantnagar",7.0,65344,4388000
"Netaji Subhas University - [NSU], Jamshedpur",7.0,70000,250000
"RTC Institute of Technology - [RTCIT], Ranchi",7.0,74000,462000
"SS College of Engineering, Udaipur",7.0,77000,500000
"Phonics Group of Institutions - [PGI], Roorkee",7.0,79900,220000
"Ideal Institute of Engineering - [IIE], Nadia",7.0,86800,675000
"DPG Institute of Technology and Management - [DPGITM], Gurgaon",7.0,89000,850000
"Nalla Narasimha Reddy Education Society's Group of Institutions - [NNRG], Hyderabad",7.0,91500,500000
"Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam, Hyderabad",7.0,93000,2875000
"Atria Institute of Technology, Bangalore",7.0,95340,1625000
"Pune Vidhyarthi Griha's College of Engineering and Technology - [PVGCOET], Pune",7.0,115397,500000
"Kalasalingam Academy of Research and Education, Krishnankovil",7.0,120600,300000
"Raj Kumar Goel Institute of Technology - [RKGIT], Ghaziabad",7.0,135000,452500
"Inderprastha Engineering College - [IPEC], Ghaziabad",7.0,136056,960000
"College of Engineering - [COER], Roorkee",7.0,136150,720000
"National Institute of Technology - [NIT], Aizawl",7.0,150200,350000
"Indian Institute of Information Technology, Srirangam",7.0,192250,596000
"Mahendra Institute of Technology - [MIT], Namakkal",7.0,200000,400000
"Channabasaveshwara Institute of Technology - [CIT], Tumkur",7.0,238000,2300000
"Saroj Institute of Technology and Management - [SITM], Lucknow",7.0,240000,5800000
"GITAM School of Technology, Visakhapatnam",7.0,346000,1300000
"HKBK Group of Institutions, Bangalore",7.0,370000,2600000
"Plaksha University, Mohali",7.0,695000,4670000
"Saharsa College of Engineering - [SCE], Saharsa",7.1,,450000
"Jorhat Institute of Science and Technology - [JIST], Jorhat",7.1,,350000
"NSS College of Engineering - [NSSCE], Palakkad",7.1,8739,9700000
"Tripura Institute of Technology, Agartala",7.1,12180,300000
"Bineswar Brahma Engineering College- [BBEC], Kokrajhar",7.1,12800,650000
"North Eastern Regional Institute of Science and Technology - [NERIST], Itanagar",7.1,13750,567000
"Government College of Engineering and Ceramic Technology - [GCECT], Kolkata",7.1,17950,330000
"Amrita Sai Institute of Science and Technology - [ASIST], Krishna",7.1,35000,1500000
"Sri Mittapalli College of Engineering, Guntur",7.1,41600,550000
"Sree Rama Engineering College - [SREC], Tirupati",7.1,44700,400000
"Sri Krishna Institute of Technology - [SKIT], Bangalore",7.1,45000,1000000
"Rajalakshmi Engineering College - [REC], Chennai",7.1,50000,4400000
"Mookambigai College of Engineering, Pudukkottai",7.1,50000,230000
