clg_name,rating,fees,pkg
"Ideal Institute of Technology, Wada",7.6,101000,650000
"University Institute of Engineering and Technology - [UIET], Kurukshetra",7.6,104900,1800000
"Ambalika Institute of Management and Technology - [AIMT], Lucknow",7.6,105709,1250000
"Zeal Education Society's Zeal College of Engineering and Research - [ZCOER], Pune",7.6,110000,350000
"ACE Engineering College - [ACEEC], Hyderabad",7.6,110000,650000
"Bhagalpur College of Engineering - [BCE], Bhagalpur",7.6,112500,650000
"Anand Engineering College - [AEC], Agra",7.6,117625,3600000
"International Institute of Information Technology - [I²IT], Pune",7.6,120079,1500000
"Vidyavardhini's College of Engineering and Technology - [VCET], Palghar",7.6,121934,360000
"University Institute of Information Technology, Himachal Pradesh University - [UIIT], Shimla",7.6,122010,750000
"Vedavyasa Institute of Technology, Malappuram",7.6,124000,576000
"Sanskriti University - [SU], Mathura",7.6,130000,360000
"Guru Gobind Singh Indraprastha University - [GGSIPU], New Delhi",7.6,132000,3200000
"IMS Engineering College - [IMSEC], Ghaziabad",7.6,135169,603000
"National Institute of Technology - [NIT], South Goa",7.6,143200,500000
"PDA College of Engineering, Gulbarga",7.6,150000,300000
"GNA University, Phagwara",7.6,153000,4100000
"Indian Institute of Information Technology Design and Manufacturing - [IIITDM], Kurnool",7.6,153380,576000
"Chitkara Institute of Engineering and Technology - [CIET], Patiala",7.6,174000,2700000
"Indian Institute of Information Technology - [IIITM], Imphal",7.6,187945,390000
"Syed Ammal Engineering college, Ramanathapuram",7.6,200000,120000
"Kalam Institute of Technology - [KIT], Ganjam",7.6,212000,2100000
"Lucknow Institute of Technology - [LIT], Lucknow",7.6,220000,1080000
"Bangalore Institute of Technology - [BIT], Bangalore",7.6,235000,1500000
"M.S. Ramaiah University of Applied Sciences - [MSRUAS], Bangalore",7.6,240000,350000
"Dhanekula Institute of Engineering and Technology - [DIET], Vijayawada",7.6,243000,1900000
"Uttaranchal University, Dehradun",7.6,244000,4331000
"Swami Rama Himalayan University - [SRHU], Dehradun",7.6,244000,775000
"Indian Institute of Information Technology - [IIIT], Nagpur",7.6,247000,1800000
"Anurag University, Hyderabad",7.6,250000,2400000
"Bhubaneswar Engineering College - [BEC], Bhubaneswar",7.6,252000,4400000
"Hirasugar Institute of Technology - [HIT], Belgaum",7.6,261360,890000
"International School of Engineering - [INSOFE], Bangalore",7.6,320000,300000
"Indian Institute of Information Technology Sri City - [IIIT], Sri City",7.6,321000,300000
"NIIT University - [NU], Neemrana",7.6,325000,350000
"Hemnalini Memorial College of Engineering - [HMCE] Kalyani, Haringhat",7.6,332000,200000
"Kamla Nehru Institute of Technology - [KNIT], Sultanpur",7.6,337000,395777
"Bengal Institute of Technology - [BIT], Kolkata",7.6,347000,1300000
"B. N. M. Institute of Technology - [BNMIT], Bangalore",7.6,800000,1250000
"Andhra University, College of Engineering - [AUCE], Visakhapatnam",7.7,10000,1150000
"Mangayarkarasi College of Engineering - [MCE], Madurai",7.7,30000,320000
"MIC College of Technology, Krishna",7.7,36100,180000
"KKR & KSR Institute of Technology and Sciences - [KITS], Guntur",7.7,37000,605000
"SVS College of Engineering - [SVSCE], Coimbatore",7.7,45000,180000
"AAR Mahaveer Engineering College, Hyderabad",7.7,48000,1000000
"Jerusalem College of Engineering - [JCE], Chennai",7.7,50000,450000
"EASA College of Engineering and Technology - [ECET], Coimbatore",7.7,50000,300000
"Meenakshi College of Engineering, Chennai",7.7,50000,1340000
"Bhajarang Engineering College, Thiruvallur",7.7,50000,250000
"Dhanalakshmi Srinivasan College of Engineering - [DSCE], Coimbatore",7.7,55000,2600000
"Bhopal Institute of Technology - [BIT], Bhopal",7.7,55000,450000
"Misrimal Navajee Munoth Jain Engineering College - [MNMJEC], Chennai",7.7,55000,450000
"IES College of Technology - [ICOT], Bhopal",7.7,55000,500000
"Bansal Institute of Science and Technology - [BIST], Bhopal",7.7,55000,240000
"Kandula Sreenivasa Reddy Memorial College of Engineering - [KSRMCE], Kadapa",7.7,56700,220000
"St Joseph College of Engineering, Chennai",7.7,60000,450000
"Chouksey Engineering College - [CEC], Bilaspur",7.7,60000,480000
"Maulana Azad University, Jodhpur",7.7,60500,1200000
"Rajkiya Engineering College -[RECM], Mainpuri",7.7,60500,250000
"Central Institute of Petrochemicals Engineering & Technology - [CIPET], Ahmedabad",7.7,65000,1500000
"SKP Engineering College, Tiruvannamalai",7.7,65000,360000
"New Prince Shri Bhavani College of Engineering & Technology - [NPSBCET], Chennai",7.7,65000,1800000
"Basaveshwar Engineering College - [BEC], Bagalkot",7.7,65340,2100000
"Government College of Engineering - [GECA], Aurangabad",7.7,65839,540000
"Shri S'ad Vidya Mandal Institute of Technology - [SVMIT], Surat",7.7,70000,1000000
"Maulana Abul Kalam Azad University of Technology - [MAKAUT], Kolkata",7.7,70300,450000
"Dr. Ambedkar Institute of Technology for Handicapped - [AITH], Kanpur",7.7,71465,3300000
"Aurora's Technological and Research Institute - [ATRI], Hyderabad",7.7,72000,720000
"Laxmi Institute of Technology - [LIT], Valsad",7.7,72000,5800000
"Sree Buddha College of Engineering Pattoor - [SBCE], Alappuzha",7.7,75000,5600000
"Sreepathy Institute of Management and Technology - [SIMAT] Vavannor, Palakkad",7.7,75000,240000
"Silver Oak College of Engineering and Technology - [SOCET], Ahmedabad",7.7,78000,320000
"Swami Vivekananda Institute of Technology - [SVIT], Secunderabad",7.7,79350,7000000
"Pacific University, Udaipur",7.7,80000,530000
"Maharishi University of Information Technology - [MUIT], Lucknow",7.7,80000,450000
"Bharati Vidyapeeth College of Engineering - [BVCOE], Kolhapur",7.7,82301,3300000
"Government Engineering College - [GEC], Raipur",7.7,82780,203000
"Government College of Engineering - [GCOE], Jalgaon",7.7,82956,1850000
"Institute of Engineering and Technology, Devi Ahilya University - [IET -DAVV], Indore",7.7,82961,675000
"University Institute of Engineering and Technology - [UIET], Kanpur",7.7,83643,2800000
"Jharkhand Rai University - [JRU], Ranchi",7.7,85000,900000
"Rajasthan Institute of Engineering and Technology - [RIET], Jaipur",7.7,85000,460000
"GSSS Institute of Engineering and Technology for Women - [GSSSIETW], Mysore",7.7,85040,287000
"Amity University, Raipur",7.7,86000,1358000
"Bahubali College of Engineering - [BCE], Hassan",7.7,87220,300000
"P.U. Swami Sarvanand Giri Regional Centre - [PUSSGRC], Hoshiarpur",7.7,87755,300000
"GIET University - [GIET], Gunupur",7.7,90000,8500000
"Mangalore Institute of Technology and Engineering - [MITE], Mangalore",7.7,91246,1600000
"St. Andrews Institute of Technology and Management - [SAITM], Gurgaon",7.7,92000,1000000
"Guru Kashi University, Bathinda",7.7,92680,480000
"Sphoorthy Engineering College - [SPHN], Hyderabad",7.7,95000,1400000
"Viswajyothi College of Engineering and Technology - [VJCET], Ernakulam",7.7,96500,400000
"Gayatri Vidya Parishad College of Engineering For Women - [GVPW], Visakhapatnam",7.7,97600,500000
"Marri Laxman Reddy Institute of Technology & Management - [MLRITM], Hyderabad",7.7,100000,360000
"Global Group of Institutes, Amritsar",7.7,104000,1500000
"Arni University, Kangra",7.7,105000,1100000
"Bapurao Deshmukh College of Engineering - [BDCE], Wardha",7.7,107000,250000
"Priyadarshini Institute of Engineering and Technology - [PIET], Nagpur",7.7,108000,850000
"Netaji Subhas Institute of Technology - [NSIT], Patna",7.7,108300,1200000
"Raffles University, Neemrana",7.7,109000,1665000
"JSS Academy of Technical Education - [JSSATE], Bangalore",7.7,110821,470000
"Dream Institute of Technology, Kolkata",7.7,112000,570000
"Navrachana University - [NUV], Vadodara",7.7,114000,6000000
"Budge Budge Institute of Technology - [BBIT], Kolkata",7.7,114650,3200000
"RNS Institute of Technology - [RNSIT], Bangalore",7.7,116765,1700000
"Dayananda Sagar University - [DSU], Bangalore",7.7,119793,2500000
"Rajadhani Institute of Engineering and Technology - [RIET] Attinga, Thiruvananthapuram",7.7,120000,340000
"D. Y. Patil College of Engineering, Pune",7.7,123998,150000
"Sreenidhi Institute of Science and Technology - [SNIST], Hyderabad",7.7,130000,2194000
"GM Institute of Technology - [GMIT], Davanagere",7.7,130000,240000
"Loyola Institute of Technology and Science - [LITES], Kanyakumari",7.7,130000,320000
"Assam Don Bosco University - [ADBU], Guwahati",7.7,131000,4200000
"Career Point University - [CPU], Kota",7.7,140000,400000
"Rajarambapu Institute of Technology - [RIT], Sangli",7.7,140000,750000
"National Institute of Technology - [NIT], Raipur",7.7,140600,7400000
"Ajay Kumar Garg Engineering College - [AKGEC], Ghaziabad",7.7,141856,700000
"Watumull Institute of Electronic Engineering and Computer Technology - [WIEECT], Mumbai",7.7,141916,1200000
"GNIOT Group of Institutions - [GNIOT], Greater Noida",7.7,149400,4400000
"Bharath University - Bharath Institute of Higher Education and Research - [BIHER], Chennai",7.7,150000,600000
"SGT University, Gurgaon",7.7,152500,180000
"Bharati Vidyapeeth Deemed University - [BVDU], Pune",7.7,157500,2130000
"Poornima College of Engineering, Jaipur",7.7,170000,1500000
"Pondicherry Engineering College - [PEC], Pondicherry",7.7,171200,1389000
"C. V. Raman Global University, Bhubaneswar",7.7,175000,1358000
"IILM University, Greater Noida",7.7,175000,450000
"Adamas University, Kolkata",7.7,190000,1200000
"Indian Institute of information technology -[IIIT], Raichur",7.7,200000,8500000
"Ponjesly College of Engineering - [PCE], Nagercoil",7.7,200000,1352000
"Dr. NGP Institute of Technology, Coimbatore",7.7,200000,500000
"International Institute of Information Technology - [IIIT], Bhubaneswar",7.7,211200,680000
"Amity University, Gurgaon",7.7,230000,1335000
"College of Engineering and Technology - [CET], Bhubaneswar",7.7,235000,3200000
"Indian Institute of Information Technology - [IIIT], Una",7.7,245000,1200000
"Ganga Technical Campus - [GTC], Bahadurgarh",7.7,280000,4317000
"Amrita Vishwa Vidyapeetham, Coimbatore",7.7,300000,572000
"Jawaharlal College of Engineering and Technology - [JCET] Ottapalam, Palakkad",7.7,300000,280000
"Siliguri Institute of Technology - [SIT], Darjeeling",7.7,393000,1000000
"Thapar Institute of Engineering and Technology - [Thapar University], Patiala",7.7,413600,2545000
"Capital Engineering College - [CEC], Khorda",7.8,,380000
"Coochbehar Government Engineering College, Cooch Behar",7.8,6000,343292
"Assam Engineering College - [AEC], Guwahati",7.8,11000,405000
"Jorhat Engineering College - [JEC], Jorhat",7.8,11000,1000000
"Zakir Hussain College of Engineering and Technology - [ZHCET], Aligarh",7.8,18040,300000
"Sri Jagadguru Chandrashekaranatha Swamiji Institute of Technology - [SJCIT], Chickballapur",7.8,32590,450000
"CIPET: Centre for Skilling and Technical Support [CSTS], Bhubaneswar",7.8,32680,1200000
"Infant Jesus College of Engineering - [IJCE], Thoothukudi",7.8,34000,250000
"Madhav University - [MU], Sirohi",7.8,35000,360000
"Bonam Venkata Chalamayya Engineering College - [BVCEC], East Godavari",7.8,35000,350000
"Malineni Lakshmaiah Womens Engineering College, Guntur",7.8,35000,465000
"College of Engineering Kottarakkara, Kollam",7.8,36932,1200000
"College of Engineering Thalassery, Kannur",7.8,38250,3200000
"Narayanaguru College of Engineering - [NGCE], Kanyakumari",7.8,40000,900000
"Anna University, College of Engineering - [UCEK], Kanchipuram",7.8,43810,250000
"Rabindranath Tagore University - [RNTU], Bhopal",7.8,45000,4400000
"Malla Reddy Institute of Technology and Science - [MRITS], Hyderabad",7.8,48000,235000
"Paavai Engineering College (Autonomous), Namakkal",7.8,50000,8500000
"Ramco Institute of Technology - [RIT], Rajapalayam",7.8,50000,1000000
"GKM College of Engineering and Technology - [GKMCET], Chennai",7.8,50000,590000
"Thangavelu Engineering College, Chennai",7.8,50000,1000000
"ARM College of Engineering and Technology - [ARMCET], Kanchipuram",7.8,50000,2500000
"Chalapathi Institute of Engineering and Technology - [CIET], Guntur",7.8,52500,1200000
"Trinity Institute of Technology and Research, Bhopal",7.8,53000,480000
"QIS Institute of Technology - [QISIT], Prakasam",7.8,53000,3000000
"Patel College of Science and Technology - [PCST], Indore",7.8,54000,1200000
"Sanjay Memorial Institute of Technology - [SMIT], Berhampur",7.8,55000,4000000
"Bhubaneswar Institute of Technology - [BIT], Bhubaneswar",7.8,55000,250000
"Takshshila Institute of Engineering and Technology - [TIET], Jabalpur",7.8,58000,450000
"KLN College of Engineering - [KLNCE], Sivaganga",7.8,60000,1945000
"Roever Engineering College-[REC], Perambalur",7.8,60000,450000
"Holy Grace Academy of Engineering - [HGAE], Thrissur",7.8,60000,230000
"Renganayagi Varatharaj College of Engineering - [RVCE], Virudhunagar",7.8,60000,530000
"Rajkiya Engineering College [REC], Banda",7.8,62500,400000
"Velammal Engineering College - [VEC], Chennai",7.8,65000,1400000
"Genba Sopanrao Moze College of Engineering Balewadi, Pune",7.8,65000,580000
"Swarna Bharathi Institute of Science and Technology - [SBIT], Khammam",7.8,66700,150000
"Bipin Tripathi Kumaon Institute of Technology, Almora",7.8,71150,400000
"Rai University - [RU], Ahmedabad",7.8,71600,520000
"Deccan College of Engineering and Technology - [DCET], Hyderabad",7.8,72000,186000
"THDC Institute of Hydro Power Engineering and Technology, Garhwal",7.8,73500,1200000
"Acropolis Institute of Technology & Research - [AITR], Indore",7.8,73600,800000
"SAL College of Engineering - [SCE], Ahmedabad",7.8,74000,580000
"Bhoj Reddy Engineering College for Women, Hyderabad",7.8,75000,1020000
"Venkateshwara Group of Institutions, Meerut",7.8,75000,1200000
"People's University, Bhopal",7.8,80000,250000
"Raja College of Engineering and Technology, Veerapanjan, Madurai",7.8,81000,1900000
"ABIT Group of Institutions - [ABIT], Cuttack",7.8,81600,358000
"National Institute of Electronics and Information Technology - [NIELIT], Aurangabad",7.8,83250,500000
"Sambhram Institute of Technology - [SAIT], Bangalore",7.8,83560,5300000
"College of Engineering and Rural Technology - [CERT], Meerut",7.8,85565,240000
"Maharana Pratap University of Agriculture and Technology - [MPUAT], Udaipur",7.8,86000,4500000
"Indira Gandhi Delhi Technical University For Women -[IGDTUW], New Delhi",7.8,88000,1400000
"Echelon Institute of Technology, Faridabad",7.8,88000,300000
"Modern Institute of Engineering and Technology - [MIET], Hooghly",7.8,88000,800000
"ICFAI University, Baddi",7.8,95000,1850000
"Arya College of Engineering, Jaipur",7.8,96104,1000000
"Model Institute of Engineering and Technology - [MIET], Jammu",7.8,96500,5430000
"Marian Engineering College - [MEC], Thiruvananthapuram",7.8,97750,2200000
"Rayat Bahra Hoshiarpur Campus, Hoshiarpur",7.8,98000,250000
"Techno College of Engineering Agartala - [TCEA], Agartala",7.8,98000,529000
"Krishna Engineering College - [KEC], Ghaziabad",7.8,99677,86000000
"St Martin's Engineering College - [SMEC], Hyderabad",7.8,100000,620000
"Babu Banarasi Das Northern India Institute of Technology - [BBDNIIT], Lucknow",7.8,105503,250000
"Swami Keshvanand Institute of Technology, Management and Gramothan - [SKIT], Jaipur",7.8,108300,1200000
"Panjab University - [PU], Chandigarh",7.8,114305,4700000
"RC Patel Institute of Technology - [RCPIT], Shirpur",7.8,115000,1200000
"Siddaganga Institute of Technology - [SIT], Tumkur",7.8,115796,1908000
"Geethanjali College of Engineering and Technology - [GCET] Keesara, Hyderabad",7.8,120000,1466000
"Haldia Institute of Technology - [HIT], Haldia",7.8,120700,3600000
"Babu Banarasi Das University - [BBDU], Lucknow",7.8,125000,2586000
"GITA Autonomous College - [GITA College], Bhubaneswar",7.8,125000,1280000
"United Group of Institutions - [UGI], Greater Noida",7.8,129995,1720000
"Vasavi College of Engineering, Hyderabad",7.8,130000,4043000
"Assam Down Town University - [ADTU], Guwahati",7.8,130000,384000
"Harcourt Butler Technological University - [HBTU], Kanpur",7.8,135000,304000
"Amity University, Ranchi",7.8,135000,480000
"M H Saboo Siddik College of Engineering - [MHSSCOE], Mumbai",7.8,141000,750000
"Centurion University of Technology and Management - [CUTM], Bhubaneswar",7.8,141750,10000000
"Noida Institute of Engineering and Technology - [NIET], Greater Noida",7.8,143100,500000
"T John Institute of Technology - [TJIT], Bangalore",7.8,150000,1300000
"National Institute of Technology - [NIT], South Sikkim",7.8,150930,1202000
"Monad University, Hapur",7.8,151000,782000
"Amity University, Patna",7.8,159000,4000000
"Shri Mata Vaishno Devi University - [SMVDU], Katra",7.8,169000,5100000
"Dr DY Patil Vidyapeeth - [DPU], Pune",7.8,170000,500000
"Silicon Institute of Technology - [SIT], Bhubaneswar",7.8,172500,1159000
"KR Mangalam University, Gurgaon",7.8,175000,2658000
"MIT School of Food Technology - [MITSoFT], Pune",7.8,175700,250000
"Manav Rachna International Institute of Research and Studies - [MRIIRS], Faridabad",7.8,181500,3850000
"Jaypee University of Engineering and Technology - [JUET], Guna",7.8,189450,340000
"Vishwakarma Institute of Technology, Pune",7.8,192044,6010000
"DIT University - [DIT], Dehradun",7.8,200000,4500000
"Adhiyamaan College of Engineering, Hosur",7.8,200000,416000
"Vi Institute of Technology - [VIIT], Kanchipuram",7.8,200000,653000
"Velammal College of Engineering and Technology - [VCET], Madurai",7.8,200000,2100000
"Parisutham Institute of Technology and Science - [PITS], Thanjavur",7.8,200000,120000
"Indian Institute of Information Technology - [IIIT-K], Kota",7.8,230925,1200000
"Indian Institute of Information Technology Vadodara - [IIIT-V], Gandhinagar",7.8,235720,512000
"Indian Institute of Information Technology - [IIITG], Guwahati",7.8,255000,550000
"Vels Institute of Science, Technology & Advanced Studies, Chennai",7.8,287250,4160000
"Global Academy of Technology - [GAT], Bangalore",7.8,300000,700000
"MIT World Peace University - [MIT-WPU], Pune",7.8,310000,1800000
"Quest Group of Institutions, Mohali",7.8,318000,400000
"Amrita School of Engineering - [ASE], Coimbatore",7.8,335000,460000
"Indian Institute of Information Technology - [IIITD], Dharwad",7.8,355000,5300000
"Nitte Meenakshi Institute of Technology - [NMIT], Bangalore",7.8,450000,14000000
"Silicon Institute of Technology - [SIT], Sambalpur",7.8,460000,480000
"Alliance University, Bangalore",7.8,625000,350000
"United Institute of Technology - [UIT], Coimbatore",7.9,,700000
"Katihar Engineering College - [KEC], Katihar",7.9,,1240000
"Government College of Engineering - [GCE], Dharmapuri",7.9,7555,741000
"JNTUK University College of Engineering, Kakinada, East Godavari",7.9,10000,1030000
"PSR Engineering College, Virudhunagar",7.9,14000,350000
"Kalyani Government Engineering College - [KGEC], Nadia",7.9,16155,8000000
"Sri Venkateswara University College of Engineering, Tirupati",7.9,16395,850000
"Birsa Institute of Technology - [BIT] Sindri, Dhanbad",7.9,20332,1031000
"Jalpaiguri Government Engineering College - [JGEC], Jalpaiguri",7.9,24893,350000
"Sri Venkateswara University - [SVU], Tirupati",7.9,25230,1500000
"Coimbatore Institute of Technology - [CIT], Coimbatore",7.9,25800,5800000
"Sahrdaya College of Engineering - [SCE] Kodakara, Thrissur",7.9,35000,350000
"J.K. Institute of Applied Physics and Technology, Allahabad",7.9,35910,3200000
"Sai Tirumala NVR Engineering College - [STNVR], Guntur",7.9,38900,700000
"Lakshmi Narain College of Technology - [LNCT], Jabalpur",7.9,48600,2100000
"KCG College Of technology, Chennai",7.9,50000,1400000
"Sarvepalli Radhakrishnan University - [SRK], Bhopal",7.9,50000,450000
"Prince Shri Venkateshwara Padmavathy Engineering College - [PSVPEC], Chennai",7.9,50000,1000000
"Vaigai College of Engineering- [VCE], Madurai",7.9,50000,350000
"CMS College of Engineering - [CMSCE], Namakkal",7.9,50000,4000000
"GRT Institute of Engineering and Technology, Tirutani",7.9,50000,550000
"Sengunthar College of Engineering - [SCE], Namakkal",7.9,50000,380000
"SCAD Engineering College, Tirunelveli",7.9,50000,450000
"BIT Institute of Technology, Anantapur",7.9,50200,2000000
"Rajshree Institute of Management and Technology - [RIMT], Bareilly",7.9,51400,1200000
"College of Engineering Adoor - [CEA], Pathanamthitta",7.9,53328,550000
"Easwari Engineering College - [EEC], Chennai",7.9,55000,300000
"Institute of Technology and Management - [ITM], Gorakhpur",7.9,55000,480000
"Adichunchanagiri University - [ACU], Mandya",7.9,56930,1000000
"Vidyavardhaka College of Engineering - [VVCE], Mysore",7.9,58806,1200000
"SAGE University, Indore",7.9,60000,3600000
"S.A. Engineering College, Chennai",7.9,60000,2910000
"Oriental Institute of Science and Technology - [OIST], Jabalpur",7.9,60000,1000000
"Aarupadai Veedu Institute of Technology - [AVIT], Kanchipuram",7.9,60000,450000
"DMI Engineering College, Kanyakumari",7.9,60000,780000
"Rajiv Gandhi govt. Engineering college -[RGGEC], Kangra",7.9,61070,4200000
"Sree Chitra Thirunal College of Engineering - [SCTCE], Thiruvananthapuram",7.9,62668,860000
"Sri Venkateswara College of Engineering and Technology - [SVCET], Chittoor",7.9,65000,2500000
"Arasu Engineering College - [AEC], Kumbakonam",7.9,65000,336875
"Shri Guru Gobind Singhji Institute of Engineering and Technology - [SGGSIE&T], Nanded",7.9,66793,208000
"Bundelkhand University, Institute of Engineering and Technology, Jhansi",7.9,67200,543000
"SCMS School of Engineering and Technology [SSET], Ernakulam",7.9,72225,1300000
"Sapkal Knowledge Hub - [SKH], Nashik",7.9,77377,220000
"QIS College of Engineering and Technology - [QISCET], Ongole",7.9,78000,497000
"Goel Institute of Technology & Management - [GITM], Lucknow",7.9,78589,314000
"Bhilai Institute of Technology - [BITR], Raipur",7.9,79214,870000
"Sathyabama Institute of Science and Technology, Chennai",7.9,80000,1535000
"William Carey University - [WCU], Shillong",7.9,81000,4500000
"Al-Falah university - [AFU], Faridabad",7.9,85000,650000
"Veermata Jijabai Technological Institute - [VJTI], Mumbai",7.9,85551,4400000
"Mohammad Ali Jauhar University, Rampur",7.9,85700,1176000
"Calcutta Institute of Technology - [CIT], Howrah",7.9,86500,5700000
"Marudhar Engineering College - [MEC], Bikaner",7.9,87500,500000
"Sai Nath University, Ranchi",7.9,88000,400000
"Sipna's College of Engineering and Technology, Amravati",7.9,90000,412000
"Pune Institute of Computer Technology- [PICT], Pune",7.9,92000,420000
"Jaipur Engineering College and Research Centre, Jaipur",7.9,92000,5893000
"Akal University - [AU], Bathinda",7.9,92000,250000
"Himgiri Zee University - [HZU], Dehradun",7.9,95000,4500000
"Bhagwati Institute of Technology and Science, Ghaziabad",7.9,95865,3400000
"Smt Kashibai Navale College of Engineering - [SKNCOE] Vadgaon, Pune",7.9,98000,1380000
"Sangam University - [SU], Bhilwara",7.9,100000,2700000
"Muzaffarpur Institute of Technology - [MIT], Muzaffarpur",7.9,100000,423000
"St. Joseph's College of Engineering and Technology - [SJCET] Palai, Kottayam",7.9,100400,550000
"Indus University, Ahmedabad",7.9,101000,650000
"Rizvi College of Engineering - [RCOE], Mumbai",7.9,102444,630000
"Hyderabad Institute of Technology and Management - [HITAM], Hyderabad",7.9,103000,2050000
"Motihari College of Engineering - [MCE], Motihari",7.9,105000,600000
"LDRP Institute of Technology and Research - [LDRPITR], Gandhinagar",7.9,108000,2100000
"Modern Education Society's College of Engineering - [MESCOE], Pune",7.9,109050,400000
"ABSS Institute of Technology, Meerut",7.9,113460,1270000
"Galgotias College of Engineering and Technology - [GCET], Greater Noida",7.9,115603,3360000
"Heritage Institute of Technology - [HIT], Kolkata",7.9,116200,5422000
"National Institute of Science and Technology - [NIST], Berhampur",7.9,123500,550000
"Birla Vishvakarma Mahavidyalaya Engineering College - [BVM], Vallabh Vidyanagar",7.9,131000,340000
"Asansol Engineering College - [AEC], Asansol",7.9,133794,426003
"OP Jindal University - [OPJU], Raigarh",7.9,135000,320000
"KIET Group of Institutions - [KIET], Ghaziabad",7.9,138499,2400000
"Netaji Subhash Engineering College - [NSEC], Kolkata",7.9,144800,600000
"Guru Nanak Institute of Technology - [GNIT], Kolkata",7.9,145959,375000
"Mahatma Gandhi Institute of Technology - [MGIT], Hyderabad",7.9,145976,5500000
"National Institute of Technology - [NIT], Imphal",7.9,147700,392000
"CT University - [CTU], Ludhiana",7.9,154700,384000
"Sri Vijaya Vittala Institute of Technology- [VVIT], Bangalore",7.9,160000,155000
"Dr BR Ambedkar National Institute of Technology - [NIT], Jalandhar",7.9,164000,450000
"Chitkara University - [CU], Patiala",7.9,164000,1400000
"Vishwakarma Institute of Information Technology - [VIIT], Pune",7.9,164894,7200000
"National Institute of Technology - [NITP], Patna",7.9,165700,4150000
"Sardar Patel College of Engineering - [SPCE], Mumbai",7.9,170000,3500000
"University of Engineering and Management - [UEM], Kolkata",7.9,171200,800000
"SRM Valliammai Engineering college -[VEC], Kanchipuram",7.9,177000,3900000
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management - [ABVIIITM], Gwalior",7.9,187250,5175000
"Vellore Institute of Technology - [VIT], Chennai",7.9,198000,1500000
"GITAM, Bangalore",7.9,205000,1334000
"Jain University - [JU], Bangalore",7.9,210000,866000
"SRM University Delhi NCR, Sonepat",7.9,216000,2000000
"Symbiosis University of Applied Sciences- [SUAS], Indore",7.9,260000,163728
"Amrita School of Engineering - [ASE], Bangalore",7.9,270000,600000
"SNS College of Engineering - [SNSCE], Coimbatore",7.9,300000,2100000
"The Northcap University - [NCU], Gurgaon",7.9,300000,2800000
"Jyothy Institute of Technology - [JIT], Bangalore",7.9,300000,400000
"Raipur Institute of Technology - [RITEE], Raipur",7.9,304000,350000
"MIT-WPU Faculty of Engineering, Pune",7.9,310000,2000000
"Sikkim Manipal Institute of Technology - [SMIT], East Sikkim",7.9,320000,1650000
"Garden City University - [GCU], Bangalore",7.9,330000,331000
"Meerut Institute of Engineering and Technology - [MIET], Meerut",7.9,408000,458000
"Techno Main Salt Lake, Kolkata",7.9,483800,4300000
"R V College of Engineering - [RVCE], Bangalore",7.9,1300000,1301000
"Ramgarh Engineering College - [REC], Ramgarh",8.0,,1020000
"Columbia Institute of Engineering and Technology - [CIET], Raipur",8.0,,850000
"Vishwakarma Government Engineering College - [VGEC], Ahmedabad",8.0,1500,700000
"Govt Engineering College, Bilaspur",8.0,12725,1200000
"Government College of Engineering - [GCOEN], Nagpur",8.0,27875,650000
"RajaRajeswari College of Engineering - [RRCE], Bangalore",8.0,29170,500000
"JNTUH College of Engineering Manthani - [JNTUHCEM], Karimnagar",8.0,35000,211000
"Adhiparasakthi College of Engineering Arcot - [APCE], Vellore",8.0,40000,718000
"Bhabha University - [BU], Bhopal",8.0,44000,200000
"Hindustan College of Engineering - [HCE], Kollam",8.0,50000,1400000
"Vins Christian College of Engineering - [VCCE], Nagercoil",8.0,50000,1400000
"Annai Teresa College of Engineering, Viluppuram",8.0,50000,1200000
"Erode Sengunthar Engineering College, Perundurai",8.0,55000,1450000
"RMD Engineering College, Thiruvallur",8.0,55000,1250000
"Loyola Institute of Technology - [LIT], Chennai",8.0,55000,550000
"Sree Sastha Institute of Engineering and Technology, Chennai",8.0,55000,650000
"VSB College of Engineering Technical Campus, Coimbatore",8.0,55000,450000
"Noble Group of Institution - [NGI], Junagadh",8.0,55000,350000
"Jagdishprasad Jhabarmal Tibrewala University - [JJTU], Jhunjhunu",8.0,56000,380000
"SRK Institute of Technology, Vijayawada",8.0,56000,340000
"KMEA Engineering College - [KMEA EC], Aluva",8.0,57900,2100000
"Santhiram Engineering College Nandyal - [SREC], Kurnool",8.0,59500,370000
"Toc H Institute of Science and Technology - [TIST], Ernakulam",8.0,60000,4333000
"Allenhouse Institute of Technology, Kanpur",8.0,60000,2100000
"Suguna College of Engineering - [SCE], Coimbatore",8.0,60000,190000
"Shri Sant Gajanan Maharaj College of Engineering - [SSGMCE], Shegaon",8.0,60000,502000
"Mount Zion College of Engineering and Technology, Pudukkottai",8.0,60000,1000000
"Thirumalai Engineering College - [TEC], Kanchipuram",8.0,60000,520000
"KLS Gogte Institute of Technology - [KLS GIT], Belgaum",8.0,61100,1000000
"Gandhinagar Institute of Technology - [GIT], Gandhinagar",8.0,62000,1000000
"Sri Vasavi Engineering College - [SVEC], Tadepalligudem",8.0,63000,1300000
"Pragati Engineering College, East Godavari",8.0,63000,4732000
"World Institute of Technology - [WIT], Gurgaon",8.0,64000,1800000
"Indira Gandhi Institute of Technology- [IGIT], Dhenkanal",8.0,64400,350000
